	SubjectID1	SubjectID2	Group1	Group2	Distance
0	WT.unt.2	WT.unt.1	None	None	0.2996752605529751
1	WT.unt.3	WT.unt.1	None	None	0.3111591341900008
2	WT.unt.3	WT.unt.2	None	None	0.32227156253841965
3	WT.unt.4	WT.unt.1	None	None	0.31027841285922925
4	WT.unt.4	WT.unt.2	None	None	0.29615637501660336
5	WT.unt.4	WT.unt.3	None	None	0.33809743421897404
6	WT.unt.7	WT.unt.1	None	None	0.4261197621731628
7	WT.unt.7	WT.unt.2	None	None	0.42410519242877615
8	WT.unt.7	WT.unt.3	None	None	0.44742532673829394
9	WT.unt.7	WT.unt.4	None	None	0.3872327685654515
10	WT.unt.1	WT.day3.11	None	Streptomycin	0.6264595646886504
11	WT.unt.1	WT.day3.13	None	Streptomycin	0.6866465189430563
12	WT.unt.1	WT.day3.15	None	Streptomycin	0.6726727226760135
13	WT.unt.1	WT.day3.14	None	Streptomycin	0.7217914398589204
14	WT.unt.1	WT.day3.9	None	Streptomycin	0.709140499088345
15	WT.unt.2	WT.day3.11	None	Streptomycin	0.5906909610360771
16	WT.unt.2	WT.day3.13	None	Streptomycin	0.6560730471845616
17	WT.unt.2	WT.day3.15	None	Streptomycin	0.6413812234693785
18	WT.unt.2	WT.day3.14	None	Streptomycin	0.690710365192802
19	WT.unt.2	WT.day3.9	None	Streptomycin	0.6847744884571612
20	WT.unt.3	WT.day3.11	None	Streptomycin	0.6004043332491961
21	WT.unt.3	WT.day3.13	None	Streptomycin	0.67795585854335
22	WT.unt.3	WT.day3.15	None	Streptomycin	0.6519314184192779
23	WT.unt.3	WT.day3.14	None	Streptomycin	0.716381433795008
24	WT.unt.3	WT.day3.9	None	Streptomycin	0.6957612482932279
25	WT.unt.4	WT.day3.11	None	Streptomycin	0.5862448808421539
26	WT.unt.4	WT.day3.13	None	Streptomycin	0.66123529213061
27	WT.unt.4	WT.day3.15	None	Streptomycin	0.6323141166624622
28	WT.unt.4	WT.day3.14	None	Streptomycin	0.7071084327675676
29	WT.unt.4	WT.day3.9	None	Streptomycin	0.678294368152789
30	WT.unt.7	WT.day3.11	None	Streptomycin	0.6741517851449023
31	WT.unt.7	WT.day3.13	None	Streptomycin	0.7253654774957053
32	WT.unt.7	WT.day3.15	None	Streptomycin	0.703717537543332
33	WT.unt.7	WT.day3.14	None	Streptomycin	0.5640563865258845
34	WT.unt.7	WT.day3.9	None	Streptomycin	0.5476364792971209
0	WT.day3.13	WT.day3.11	Streptomycin	Streptomycin	0.3429492845202157
1	WT.day3.15	WT.day3.11	Streptomycin	Streptomycin	0.17709323574377656
2	WT.day3.15	WT.day3.13	Streptomycin	Streptomycin	0.25151112620975485
3	WT.day3.14	WT.day3.11	Streptomycin	Streptomycin	0.5456676276896388
4	WT.day3.14	WT.day3.13	Streptomycin	Streptomycin	0.4980505325275769
5	WT.day3.14	WT.day3.15	Streptomycin	Streptomycin	0.5177966838600587
6	WT.day3.9	WT.day3.11	Streptomycin	Streptomycin	0.49380969327227126
7	WT.day3.9	WT.day3.13	Streptomycin	Streptomycin	0.5027937875797568
8	WT.day3.9	WT.day3.15	Streptomycin	Streptomycin	0.4888606079192331
9	WT.day3.9	WT.day3.14	Streptomycin	Streptomycin	0.2690353420606827
10	WT.day3.11	WT.unt.1	Streptomycin	None	0.6264595646886504
11	WT.day3.11	WT.unt.2	Streptomycin	None	0.5906909610360771
12	WT.day3.11	WT.unt.3	Streptomycin	None	0.6004043332491961
13	WT.day3.11	WT.unt.4	Streptomycin	None	0.5862448808421539
14	WT.day3.11	WT.unt.7	Streptomycin	None	0.6741517851449023
15	WT.day3.13	WT.unt.1	Streptomycin	None	0.6866465189430563
16	WT.day3.13	WT.unt.2	Streptomycin	None	0.6560730471845616
17	WT.day3.13	WT.unt.3	Streptomycin	None	0.67795585854335
18	WT.day3.13	WT.unt.4	Streptomycin	None	0.66123529213061
19	WT.day3.13	WT.unt.7	Streptomycin	None	0.7253654774957053
20	WT.day3.15	WT.unt.1	Streptomycin	None	0.6726727226760135
21	WT.day3.15	WT.unt.2	Streptomycin	None	0.6413812234693785
22	WT.day3.15	WT.unt.3	Streptomycin	None	0.6519314184192779
23	WT.day3.15	WT.unt.4	Streptomycin	None	0.6323141166624622
24	WT.day3.15	WT.unt.7	Streptomycin	None	0.703717537543332
25	WT.day3.14	WT.unt.1	Streptomycin	None	0.7217914398589204
26	WT.day3.14	WT.unt.2	Streptomycin	None	0.690710365192802
27	WT.day3.14	WT.unt.3	Streptomycin	None	0.716381433795008
28	WT.day3.14	WT.unt.4	Streptomycin	None	0.7071084327675676
29	WT.day3.14	WT.unt.7	Streptomycin	None	0.5640563865258845
30	WT.day3.9	WT.unt.1	Streptomycin	None	0.709140499088345
31	WT.day3.9	WT.unt.2	Streptomycin	None	0.6847744884571612
32	WT.day3.9	WT.unt.3	Streptomycin	None	0.6957612482932279
33	WT.day3.9	WT.unt.4	Streptomycin	None	0.678294368152789
34	WT.day3.9	WT.unt.7	Streptomycin	None	0.5476364792971209
